学号,姓名,语文,数学,英语,物理,化学,生物,总分,等级
S0001,杨平,72.4,72.0,70.1,88.7,70.6,73.3,447.1,良好
S0002,胡勇,76.7,65.6,57.6,74.4,87.6,81.8,443.7,良好
S0003,黄宇,76.3,91.1,84.8,98.6,0.0,71.1,421.9,良好
S0004,杨鑫,98.0,70.6,57.0,76.8,75.3,69.6,447.3,良好
S0005,林文,66.0,86.1,71.8,72.0,62.0,75.1,433.0,良好
S0006,徐勇,90.0,63.5,69.7,94.0,72.8,88.0,478.0,良好
S0007,赵磊,79.5,78.2,82.7,84.1,55.2,61.6,441.3,良好
S0008,李桂英,79.4,92.1,93.8,67.3,66.8,77.6,477.0,良好
S0009,王辉,81.5,32.9,89.5,54.7,55.5,64.3,378.4,及格
S0010,孙浩,59.2,62.2,83.1,36.8,87.6,67.9,396.8,及格
S0011,陈芳,87.7,76.0,67.4,63.9,68.6,82.1,445.7,良好
S0012,张艳,76.3,90.2,72.8,53.4,77.6,62.9,433.2,良好
S0013,孙玲,90.1,76.0,71.0,100.0,87.6,84.1,508.8,良好
S0014,何斌,76.4,72.7,69.4,60.9,79.5,61.1,420.0,良好
S0015,吴波,76.3,96.2,70.2,60.5,78.0,83.3,464.5,良好
S0016,郭涛,65.1,91.1,69.9,48.7,86.4,59.0,420.2,良好
S0017,胡浩,70.3,59.0,69.3,66.3,84.4,69.2,418.5,及格
S0018,林艳,82.2,73.7,86.4,60.7,83.0,96.9,482.9,良好
S0019,罗玲,64.9,77.4,62.3,94.3,87.6,94.8,481.3,良好
S0020,李静,58.1,74.2,66.2,72.4,77.5,71.5,419.9,及格
S0021,林强,69.4,85.0,56.0,69.9,100.0,80.3,460.6,良好
S0022,周强,86.4,70.4,75.2,68.1,78.4,89.2,467.7,良好
S0023,高敏,95.8,75.3,65.4,81.0,71.9,83.5,472.9,良好
S0024,朱秀英,71.2,74.2,82.9,63.7,68.1,73.0,433.1,良好
S0025,周鑫,62.5,86.5,80.7,79.3,92.6,67.8,469.4,良好
S0026,王平,74.6,81.7,90.8,92.6,94.3,85.5,519.5,优秀
S0027,胡波,79.8,90.2,72.5,76.4,80.8,88.4,488.1,良好
S0028,杨艳,83.8,69.8,63.6,66.5,87.7,94.9,466.3,良好
S0029,黄涛,99.3,73.9,56.3,56.7,56.4,57.4,400.0,及格
S0030,李娟,80.3,64.8,41.6,76.8,52.9,62.2,378.6,及格
S0031,何敏,94.6,54.8,76.9,77.9,89.2,88.8,482.2,良好
S0032,高磊,73.4,63.0,84.3,48.5,71.4,58.9,399.5,及格
S0033,赵芳,78.9,44.7,80.7,81.6,82.7,89.6,458.2,良好
S0034,陈桂英,72.1,85.7,56.6,72.9,63.7,73.6,424.6,良好
S0035,吴敏,71.2,39.4,87.5,67.9,94.5,70.3,430.8,良好
S0036,高鑫,75.4,100.0,66.6,60.8,53.0,78.3,434.1,良好
S0037,孙芳,75.2,45.5,64.1,63.3,55.0,76.4,379.5,及格
S0038,吴浩,72.0,94.5,66.4,78.4,91.8,85.1,488.2,良好
S0039,赵娟,72.5,58.4,75.9,68.2,39.1,94.6,408.7,及格
S0040,郭涛,89.0,80.4,57.2,63.0,77.9,85.6,453.1,良好
S0041,黄娟,99.1,60.7,74.6,76.6,71.6,73.3,455.9,良好
S0042,黄刚,73.0,97.1,80.2,77.1,63.4,59.1,449.9,良好
S0043,郭杰,74.8,72.7,88.3,52.5,70.4,59.5,418.2,及格
S0044,高涛,83.2,88.1,77.1,78.0,62.0,61.4,449.8,良好
S0045,马军,100.0,73.1,58.9,100.0,93.0,75.9,500.9,良好
S0046,胡杰,78.8,77.3,76.8,76.6,96.5,77.2,483.2,良好
S0047,张玲,87.7,81.2,75.2,46.2,64.1,76.4,430.8,良好
S0048,杨军,93.4,64.1,61.6,72.5,76.6,56.2,424.4,良好
S0049,张艳,81.4,52.8,58.6,76.8,75.3,90.4,435.3,良好
S0050,黄辉,87.3,52.5,75.2,100.0,86.9,83.6,485.5,良好
S0051,徐霞,84.1,72.8,68.2,100.0,0.0,72.4,397.5,及格
S0052,何磊,88.3,64.7,88.5,60.7,69.2,62.9,434.3,良好
S0053,李娜,67.7,39.8,100.0,38.6,73.2,89.7,409.0,及格
S0054,张斌,80.0,79.7,68.1,57.7,71.8,72.7,430.0,良好
S0055,刘洋,82.8,53.7,88.0,67.5,52.0,75.8,419.8,及格
S0056,杨鑫,82.7,54.6,70.3,45.3,93.1,80.2,426.2,良好
S0057,周波,89.4,71.4,55.2,71.9,75.3,66.0,429.2,良好
S0058,杨军,82.5,58.5,83.4,67.4,63.1,72.9,427.8,良好
S0059,黄艳,66.6,73.8,77.8,71.8,71.0,85.5,446.5,良好
S0060,王伟,83.9,100.0,96.8,73.2,85.9,84.4,524.2,优秀
S0061,郭文,69.2,74.2,56.6,56.5,65.3,84.5,406.3,及格
S0062,刘娜,71.0,56.1,100.0,58.1,47.6,63.3,396.1,及格
S0063,孙磊,73.8,74.7,94.1,70.6,61.5,73.4,448.1,良好
S0064,李伟,76.9,76.0,74.8,61.2,78.5,71.6,439.0,良好
S0065,李静,62.6,72.4,71.4,82.7,100.0,80.7,469.8,良好
S0066,胡娟,89.2,76.7,66.4,70.5,56.6,79.7,439.1,良好
S0067,李伟,66.4,71.5,76.3,96.1,56.1,77.7,444.1,良好
S0068,刘鑫,93.7,72.8,72.8,81.5,53.3,100.0,474.1,良好
S0069,朱强,66.8,74.9,81.2,85.5,51.7,72.8,432.9,良好
S0070,周涛,90.8,74.2,71.5,71.9,88.7,71.5,468.6,良好
S0071,胡鑫,77.7,68.2,92.0,72.2,92.4,63.3,465.8,良好
S0072,吴波,60.8,73.9,76.5,94.2,75.3,59.1,439.8,良好
S0073,马霞,67.6,76.0,71.9,64.7,66.9,62.6,409.7,及格
S0074,杨超,91.3,79.1,87.3,77.7,96.3,68.1,499.8,良好
S0075,罗宇,76.4,66.6,75.2,66.3,75.3,90.4,450.2,良好
S0076,赵浩,77.2,85.5,79.1,66.2,87.2,76.4,471.6,良好
S0077,刘文,55.8,58.9,75.3,53.6,66.3,78.1,388.0,及格
S0078,杨杰,76.3,68.6,58.1,76.8,73.6,74.9,428.3,良好
S0079,胡勇,96.7,60.4,54.5,57.0,56.9,80.0,405.5,及格
S0080,赵杰,94.9,74.2,87.1,78.3,81.2,91.4,507.1,良好
S0081,杨斌,71.8,89.8,75.2,84.6,75.5,54.1,451.0,良好
S0082,林桂英,81.8,75.4,77.1,68.7,61.4,89.4,453.8,良好
S0083,王洋,82.9,73.1,95.6,73.2,61.5,48.3,434.6,良好
S0084,马浩,62.7,58.9,80.3,67.9,94.0,76.3,440.1,良好
S0085,陈波,79.8,61.5,90.0,58.6,98.6,100.0,488.5,良好
S0086,孙艳,88.7,54.1,80.0,82.1,70.2,81.8,456.9,良好
S0087,罗浩,85.6,39.3,71.7,79.1,73.9,80.1,429.7,良好
S0088,徐鑫,66.9,66.1,62.3,43.5,78.2,98.0,415.0,及格
S0089,杨浩,69.4,67.5,67.8,66.0,74.9,81.8,427.4,良好
S0090,张伟,85.9,74.2,71.9,57.7,51.2,80.8,421.7,良好
S0091,罗杰,84.3,95.4,91.4,64.5,78.6,82.4,496.6,良好
S0092,周娜,55.5,80.3,84.2,60.6,87.6,70.3,438.5,良好
S0093,杨丽,53.4,100.0,79.0,69.4,75.3,71.2,448.3,良好
S0094,黄斌,76.4,92.9,85.4,65.4,79.6,70.0,469.7,良好
S0095,周浩,72.1,41.9,81.3,65.1,80.8,77.0,418.2,及格
S0096,刘伟,75.0,88.0,78.1,85.5,62.5,82.0,471.1,良好
S0097,林洋,73.9,82.7,75.2,77.8,67.0,77.4,454.0,良好
S0098,孙辉,87.8,67.7,75.2,60.1,65.3,83.8,439.9,良好
S0099,胡斌,79.0,50.8,69.5,62.2,71.7,54.3,387.5,及格
S0100,周平,80.7,80.9,88.1,76.9,72.7,73.6,472.9,良好
S0101,何浩,64.6,74.2,89.2,76.9,81.7,64.7,451.3,良好
S0102,何鑫,44.4,71.7,67.0,61.5,66.3,79.3,390.2,及格
S0103,罗艳,89.2,62.7,86.4,66.7,77.9,79.2,462.1,良好
S0104,杨芳,99.4,53.1,70.7,95.9,79.6,81.8,480.5,良好
S0105,李超,74.6,89.8,70.7,61.8,75.6,81.6,454.1,良好
S0106,刘超,80.5,71.4,78.1,96.8,69.6,87.0,483.4,良好
S0107,何斌,81.2,74.6,78.4,85.5,75.3,75.3,470.3,良好
S0108,何芳,94.8,85.6,75.5,94.2,87.6,64.4,502.1,良好
S0109,王波,86.9,71.9,59.0,61.2,83.9,58.6,421.5,良好
S0110,刘伟,83.0,78.8,73.5,67.6,96.6,76.4,475.9,良好
S0111,张霞,76.3,76.0,100.0,63.7,60.1,78.7,454.8,良好
S0112,王刚,78.6,80.5,41.6,85.8,67.3,65.3,419.1,及格
S0113,孙鑫,63.6,76.3,85.4,62.1,52.0,76.4,415.8,及格
S0114,陈文,74.2,76.0,87.7,80.2,85.1,81.8,485.0,良好
S0115,赵文,86.9,90.6,58.7,79.5,68.7,57.8,442.2,良好
S0116,徐辉,76.4,70.7,69.4,69.3,75.7,89.8,451.3,良好
S0117,何丽,78.4,58.4,63.0,71.9,65.1,88.6,425.4,良好
S0118,刘平,66.2,81.6,97.2,71.5,75.3,53.8,445.6,良好
S0119,王丽,76.3,75.2,88.2,81.7,88.9,69.8,480.1,良好
S0120,徐明,63.4,97.6,88.8,63.1,87.6,69.4,469.9,良好
S0121,郭伟,80.9,86.8,76.4,59.9,71.6,94.0,469.6,良好
S0122,周波,76.1,83.5,90.7,80.2,83.0,81.8,495.3,良好
S0123,陈明,60.6,72.2,74.9,76.0,83.3,59.5,426.5,良好
S0124,李平,88.7,58.9,91.3,73.4,67.9,85.7,465.9,良好
S0125,赵霞,76.4,69.0,73.2,65.2,53.9,62.5,400.2,及格
S0126,李霞,96.6,0.0,66.8,76.8,61.3,73.1,374.6,及格
S0127,罗强,92.8,46.1,96.7,54.4,55.6,67.5,413.1,及格
S0128,罗军,69.2,90.6,74.7,53.6,87.6,81.8,457.5,良好
S0129,张磊,70.1,100.0,64.2,83.2,90.4,86.3,494.2,良好
S0130,杨秀英,66.3,42.8,64.1,82.0,93.6,92.7,441.5,良好
S0131,黄伟,62.1,51.0,64.1,75.0,46.7,62.0,360.9,及格
S0132,徐波,73.8,75.4,75.2,66.0,86.9,82.9,460.2,良好
S0133,高文,92.4,63.3,73.8,77.0,100.0,67.9,474.4,良好
S0134,吴娜,58.9,75.9,100.0,94.1,87.5,68.3,484.7,良好
S0135,杨波,86.5,70.9,89.2,76.8,45.0,81.4,449.8,良好
S0136,郭鑫,76.3,56.6,78.1,46.8,96.0,81.8,435.6,良好
S0137,郭玲,83.5,91.3,91.8,64.1,73.5,81.2,485.4,良好
S0138,罗波,85.3,79.0,69.1,63.3,70.0,84.0,450.7,良好
S0139,何芳,67.0,63.6,52.7,92.8,78.9,71.2,426.2,良好
S0140,张明,85.6,94.6,75.2,35.3,59.4,90.6,440.7,良好
S0141,孙静,72.5,64.4,76.8,77.2,73.0,62.0,425.9,良好
S0142,刘斌,53.4,53.4,72.3,66.4,94.1,90.8,430.4,良好
S0143,周军,78.6,74.8,84.9,92.9,81.1,54.6,466.9,良好
S0144,李霞,69.6,77.3,73.5,91.0,75.3,100.0,486.7,良好
S0145,郭明,91.6,80.0,84.0,75.1,74.2,71.5,476.4,良好
S0146,李平,75.1,82.4,93.0,47.9,57.6,63.2,419.2,及格
S0147,张辉,78.5,79.7,73.5,62.0,71.1,73.4,438.2,良好
S0148,罗勇,81.9,79.1,81.7,63.5,51.8,64.5,422.5,良好
S0149,何磊,75.3,74.2,53.9,76.8,87.6,81.8,449.6,良好
S0150,赵丽,77.0,61.8,73.5,86.2,75.3,91.0,464.8,良好
S0151,黄平,86.4,83.1,60.2,76.8,84.1,65.1,455.7,良好
S0152,李明,67.3,75.7,76.7,97.5,85.7,82.4,485.3,良好
S0153,李玲,71.0,84.3,75.2,97.5,90.1,59.1,477.2,良好
S0154,高娟,68.3,46.4,75.2,64.6,74.1,87.4,416.0,及格
S0155,高芳,92.4,76.0,69.2,74.6,84.9,80.6,477.7,良好
S0156,李明,71.0,100.0,100.0,69.0,70.9,87.8,498.7,良好
S0157,周敏,76.6,80.3,59.8,82.6,57.6,74.7,431.6,良好
S0158,张敏,72.0,76.4,59.1,76.8,92.9,71.2,448.4,良好
S0159,张娟,74.9,82.6,94.9,73.6,71.7,85.0,482.7,良好
S0160,郭平,70.6,100.0,66.5,76.8,54.7,61.6,430.2,良好
