学号,姓名,语文,数学,英语,物理,化学,生物
S0001,杨平,72.4,72.0,70.1,88.7,70.6,73.3
S0002,胡勇,76.7,65.6,57.6,74.4,87.6,81.8
S0003,黄宇,76.3,91.1,84.8,98.6,0.0,71.1
S0004,杨鑫,98.0,70.6,57.0,76.8,75.3,69.6
S0005,林文,66.0,86.1,71.8,72.0,62.0,75.1
S0006,徐勇,90.0,63.5,69.7,94.0,72.8,88.0
S0007,赵磊,79.5,78.2,82.7,84.1,55.2,61.6
S0008,李桂英,79.4,92.1,93.8,67.3,66.8,77.6
S0009,王辉,81.5,32.9,89.5,54.7,55.5,64.3
S0010,孙浩,59.2,62.2,83.1,36.8,87.6,67.9
S0011,陈芳,87.7,76.0,67.4,63.9,68.6,82.1
S0012,张艳,76.3,90.2,72.8,53.4,77.6,62.9
S0013,孙玲,90.1,76.0,71.0,100.0,87.6,84.1
S0014,何斌,76.4,72.7,69.4,60.9,79.5,61.1
S0015,吴波,76.3,96.2,70.2,60.5,78.0,83.3
S0016,郭涛,65.1,91.1,69.9,48.7,86.4,59.0
S0017,胡浩,70.3,59.0,69.3,66.3,84.4,69.2
S0018,林艳,82.2,73.7,86.4,60.7,83.0,96.9
S0019,罗玲,64.9,77.4,62.3,94.3,87.6,94.8
S0020,李静,58.1,74.2,66.2,72.4,77.5,71.5
S0021,林强,69.4,85.0,56.0,69.9,100.0,80.3
S0022,周强,86.4,70.4,75.2,68.1,78.4,89.2
S0023,高敏,95.8,75.3,65.4,81.0,71.9,83.5
S0024,朱秀英,71.2,74.2,82.9,63.7,68.1,73.0
S0025,周鑫,62.5,86.5,80.7,79.3,92.6,67.8
S0026,王平,74.6,81.7,90.8,92.6,94.3,85.5
S0027,胡波,79.8,90.2,72.5,76.4,80.8,88.4
S0028,杨艳,83.8,69.8,63.6,66.5,87.7,94.9
S0029,黄涛,99.3,73.9,56.3,56.7,56.4,57.4
S0030,李娟,80.3,64.8,41.6,76.8,52.9,62.2
S0031,何敏,94.6,54.8,76.9,77.9,89.2,88.8
S0032,高磊,73.4,63.0,84.3,48.5,71.4,58.9
S0033,赵芳,78.9,44.7,80.7,81.6,82.7,89.6
S0034,陈桂英,72.1,85.7,56.6,72.9,63.7,73.6
S0035,吴敏,71.2,39.4,87.5,67.9,94.5,70.3
S0036,高鑫,75.4,100.0,66.6,60.8,53.0,78.3
S0037,孙芳,75.2,45.5,64.1,63.3,55.0,76.4
S0038,吴浩,72.0,94.5,66.4,78.4,91.8,85.1
S0039,赵娟,72.5,58.4,75.9,68.2,39.1,94.6
S0040,郭涛,89.0,80.4,57.2,63.0,77.9,85.6
S0041,黄娟,99.1,60.7,74.6,76.6,71.6,73.3
S0042,黄刚,73.0,97.1,80.2,77.1,63.4,59.1
S0043,郭杰,74.8,72.7,88.3,52.5,70.4,59.5
S0044,高涛,83.2,88.1,77.1,78.0,62.0,61.4
S0045,马军,100.0,73.1,58.9,100.0,93.0,75.9
S0046,胡杰,78.8,77.3,76.8,76.6,96.5,77.2
S0047,张玲,87.7,81.2,75.2,46.2,64.1,76.4
S0048,杨军,93.4,64.1,61.6,72.5,76.6,56.2
S0049,张艳,81.4,52.8,58.6,76.8,75.3,90.4
S0050,黄辉,87.3,52.5,75.2,100.0,86.9,83.6
S0051,徐霞,84.1,72.8,68.2,100.0,0.0,72.4
S0052,何磊,88.3,64.7,88.5,60.7,69.2,62.9
S0053,李娜,67.7,39.8,100.0,38.6,73.2,89.7
S0054,张斌,80.0,79.7,68.1,57.7,71.8,72.7
S0055,刘洋,82.8,53.7,88.0,67.5,52.0,75.8
S0056,杨鑫,82.7,54.6,70.3,45.3,93.1,80.2
S0057,周波,89.4,71.4,55.2,71.9,75.3,66.0
S0058,杨军,82.5,58.5,83.4,67.4,63.1,72.9
S0059,黄艳,66.6,73.8,77.8,71.8,71.0,85.5
S0060,王伟,83.9,100.0,96.8,73.2,85.9,84.4
S0061,郭文,69.2,74.2,56.6,56.5,65.3,84.5
S0062,刘娜,71.0,56.1,100.0,58.1,47.6,63.3
S0063,孙磊,73.8,74.7,94.1,70.6,61.5,73.4
S0064,李伟,76.9,76.0,74.8,61.2,78.5,71.6
S0065,李静,62.6,72.4,71.4,82.7,100.0,80.7
S0066,胡娟,89.2,76.7,66.4,70.5,56.6,79.7
S0067,李伟,66.4,71.5,76.3,96.1,56.1,77.7
S0068,刘鑫,93.7,72.8,72.8,81.5,53.3,100.0
S0069,朱强,66.8,74.9,81.2,85.5,51.7,72.8
S0070,周涛,90.8,74.2,71.5,71.9,88.7,71.5
S0071,胡鑫,77.7,68.2,92.0,72.2,92.4,63.3
S0072,吴波,60.8,73.9,76.5,94.2,75.3,59.1
S0073,马霞,67.6,76.0,71.9,64.7,66.9,62.6
S0074,杨超,91.3,79.1,87.3,77.7,96.3,68.1
S0075,罗宇,76.4,66.6,75.2,66.3,75.3,90.4
S0076,赵浩,77.2,85.5,79.1,66.2,87.2,76.4
S0077,刘文,55.8,58.9,75.3,53.6,66.3,78.1
S0078,杨杰,76.3,68.6,58.1,76.8,73.6,74.9
S0079,胡勇,96.7,60.4,54.5,57.0,56.9,80.0
S0080,赵杰,94.9,74.2,87.1,78.3,81.2,91.4
S0081,杨斌,71.8,89.8,75.2,84.6,75.5,54.1
S0082,林桂英,81.8,75.4,77.1,68.7,61.4,89.4
S0083,王洋,82.9,73.1,95.6,73.2,61.5,48.3
S0084,马浩,62.7,58.9,80.3,67.9,94.0,76.3
S0085,陈波,79.8,61.5,90.0,58.6,98.6,100.0
S0086,孙艳,88.7,54.1,80.0,82.1,70.2,81.8
S0087,罗浩,85.6,39.3,71.7,79.1,73.9,80.1
S0088,徐鑫,66.9,66.1,62.3,43.5,78.2,98.0
S0089,杨浩,69.4,67.5,67.8,66.0,74.9,81.8
